3
10
13472
[[155, 93, 6, 996, 279, 636, 174, 473, 565, 399, 855, 841, 720, 310, 776, 378, 271, 800, 595, 811, 79, 330, 344, 356, 575, 607, 706, 742, 763, 772, 698, 173, 742, 495, 1000, 230, 709, 983, 422, 416, 757, 801, 40, 720, 300, 470, 163, 561, 705, 572],
[0, 0, 0, 0, 0, 0, 0, 0, 0, 0],
[639, 357, 167, 359, 667, 942, 737, 937, 742, 331, 747, 150, 624, 245, 299, 985, 31, 661, 17, 949, 1, 28, 247, 311, 428, 577, 643, 701, 853, 910, 253, 458, 109, 175, 152, 395, 601, 947, 178, 54, 334, 754, 819, 427, 605, 677, 523, 181, 130, 687],
[320, 139, 20, 71, 265, 88, 100, 28, 329, 601, 354, 968, 958, 521, 326, 624, 463, 62, 561, 204, 39, 158, 487, 505, 511, 579, 607, 637, 691, 770, 38, 170, 711, 624, 959, 432, 825, 692, 719, 706, 435, 436, 31, 3, 195, 392, 753, 180, 402, 710],
[392, 308, 354, 16, 552, 652, 1000, 583, 313, 17, 531, 632, 155, 551, 702, 420, 638, 802, 447, 967, 199, 201, 453, 521, 607, 664, 679, 766, 769, 770, 175, 966, 266, 82, 775, 688, 826, 60, 720, 833, 356, 61, 174, 985, 711, 153, 988, 933, 83, 584],
[819, 16, 482, 674, 678, 461, 125, 968, 95, 41, 443, 965, 813, 822, 930, 697, 646, 743, 696, 24, 311, 167, 866, 587, 769, 716, 579, 810, 719, 512, 598, 13, 894, 849, 14, 370, 266, 478, 373, 673, 38, 86, 878, 784, 557, 793, 361, 84, 192, 108],
[482, 540, 446, 295, 57, 712, 688, 494, 82, 873, 238, 69, 244, 167, 345, 315, 432, 122, 413, 693, 672, 258, 459, 182, 836, 898, 568, 211, 39, 781, 515, 1000, 706, 999, 849, 908, 135, 844, 80, 480, 947, 985, 725, 271, 83, 377, 879, 694, 475, 988],
[161, 713, 675, 942, 732, 367, 782, 606, 293, 75, 650, 541, 707, 599, 886, 923, 858, 960, 980, 778, 843, 913, 180, 855, 764, 486, 511, 121, 427, 570, 578, 673, 445, 962, 963, 454, 263, 682, 85, 515, 931, 172, 938, 51, 335, 181, 883, 891, 523, 947],
[641, 869, 820, 130, 920, 434, 142, 517, 399, 822, 532, 893, 884, 22, 8, 103, 155, 923, 252, 522, 811, 49, 778, 566, 821, 775, 492, 38, 491, 601, 635, 99, 164, 393, 125, 459, 527, 588, 889, 10, 135, 462, 32, 335, 314, 395, 91, 24, 80, 739],
[479, 858, 370, 453, 939, 906, 931, 635, 26, 957, 969, 2, 431, 865, 107, 389, 119, 125, 898, 520, 45, 264, 150, 144, 467, 151, 271, 738, 140, 802, 390, 162, 768, 795, 335, 509, 543, 260, 383, 435, 222, 735, 43, 621, 3, 993, 420, 979, 698, 327]]
[484, 27, 860, 758, 659, 780, 139, 890, 300, 992, 984, 378, 700, 510, 485, 831, 835, 307, 757, 817, 710, 746, 579, 70, 913, 729, 116, 240, 227, 570, 202, 739, 305, 204, 999, 550, 128, 816, 602, 518, 175, 978, 179, 567, 997, 245, 432, 471, 150, 294]


[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
